Q2_0.01_x,Q2_0.01_RL_1b,Q2_0.01_RT_1b,Q2_0.01_RL_1b2b,Q2_0.01_RT_1b2b,,Q2_0.02_x,Q2_0.02_RL_1b,Q2_0.02_RT_1b,Q2_0.02_RL_1b2b,Q2_0.02_RT_1b2b,,Q2_0.026_x,Q2_0.026_RL_1b,Q2_0.026_RT_1b,Q2_0.026_RL_1b2b,Q2_0.026_RT_1b2b,,Q2_0.04_x,Q2_0.04_RL_1b,Q2_0.04_RT_1b,Q2_0.04_RL_1b2b,Q2_0.04_RT_1b2b,,Q2_0.056_x,Q2_0.056_RL_1b,Q2_0.056_RT_1b,Q2_0.056_RL_1b2b,Q2_0.056_RT_1b2b,,Q2_0.093_x,Q2_0.093_RL_1b,Q2_0.093_RT_1b,Q2_0.093_RL_1b2b,Q2_0.093_RT_1b2b,,Q2_0.12_x,Q2_0.12_RL_1b,Q2_0.12_RT_1b,Q2_0.12_RL_1b2b,Q2_0.12_RT_1b2b,,Q2_0.16_x,Q2_0.16_RL_1b,Q2_0.16_RT_1b,Q2_0.16_RL_1b2b,Q2_0.16_RT_1b2b,,Q2_0.265_x,Q2_0.265_RL_1b,Q2_0.265_RT_1b,Q2_0.265_RL_1b2b,Q2_0.265_RT_1b2b,,Q2_0.38_x,Q2_0.38_RL_1b,Q2_0.38_RT_1b,Q2_0.38_RL_1b2b,Q2_0.38_RT_1b2b
48,0.0315008,0.00842417,0.0317762,0.0103151,,48,0.0726948,0.0186605,0.0727881,0.0235454,,48,0.0925481,0.0252022,0.0924504,0.0320091,,48,0.111644,0.0371792,0.111156,0.0473775,,48,0.100194,0.0429202,0.099531,0.0546033,,48,0.0602802,0.0420521,0.0596076,0.0532823,,48,0.039814,0.0361104,0.0392661,0.0455907,,48,0.0203142,0.02532,0.0199917,0.0317378,,48,0.00288857,0.00657416,0.00283161,0.00802537,,48,7.92E-05,3.19E-04,7.81E-05,3.68E-04
49,0.029659,0.00796648,0.0299459,0.00970488,,49,0.0693704,0.0178889,0.0695037,0.0225057,,49,0.0891971,0.0243784,0.0891486,0.0308987,,49,0.109871,0.0366414,0.109426,0.0466465,,49,0.100199,0.0428767,0.0995589,0.0545202,,49,0.0609396,0.0424848,0.0602764,0.0538189,,49,0.0405124,0.036735,0.0399659,0.0463753,,49,0.0208407,0.0259518,0.0205133,0.032531,,49,0.00302499,0.00686955,0.00296556,0.00838519,,49,8.91E-05,0.000354949,8.79E-05,0.000408969
50,0.0279471,0.00753336,0.0282433,0.00912932,,50,0.0661975,0.0171421,0.0663669,0.0215006,,50,0.0859386,0.0235659,0.0859355,0.029804,,50,0.108024,0.0360736,0.107621,0.0458752,,50,0.100089,0.0427885,0.0994721,0.0543777,,50,0.0615178,0.0428682,0.0608653,0.0542907,,50,0.0411713,0.037331,0.0406271,0.0471218,,50,0.0213536,0.0265699,0.0210218,0.033306,,50,0.00316335,0.00716964,0.00310147,0.00875066,,50,9.96E-05,0.000392391,9.83E-05,0.000452071
51,0.0263658,0.00712928,0.026669,0.0085937,,51,0.0631899,0.0164297,0.0633909,0.0205423,,51,0.0827941,0.0227774,0.0828319,0.0287413,,51,0.106131,0.0354907,0.105769,0.0450824,,51,0.0998884,0.0426703,0.0992953,0.0541944,,51,0.0620285,0.0432102,0.0613873,0.0547077,,51,0.0417967,0.0378983,0.0412555,0.04783,,51,0.021856,0.0271776,0.0215201,0.0340667,,51,0.00330418,0.00747458,0.00323983,0.00912189,,51,1.11E-04,0.000432453,1.09E-04,0.000498205
53,0.0235888,0.00641566,0.0238984,0.0076499,,53,0.0576733,0.0151274,0.0579239,0.0187885,,53,0.0768653,0.021302,0.0769712,0.0267475,,53,0.10228,0.0343245,0.10199,0.0434897,,53,0.0992417,0.0423742,0.098694,0.0537426,,53,0.062902,0.0438076,0.0622836,0.0554241,,53,0.0429617,0.0389586,0.042427,0.0491447,,53,0.0228324,0.0283603,0.022489,0.0355423,,53,0.00359492,0.00809941,0.00352555,0.00988182,,53,1.36E-04,0.000520905,1.34E-04,0.000600121
55,0.021271,0.005821,0.0215782,0.00686456,,55,0.0527502,0.0139873,0.0530332,0.0172493,,55,0.0713541,0.0199714,0.0715103,0.0249408,,55,0.0982935,0.0331852,0.0980648,0.0419209,,55,0.0982576,0.0420332,0.0977505,0.0532183,,55,0.0636191,0.0443319,0.0630204,0.0560354,,55,0.0440359,0.039949,0.0435063,0.0503593,,55,0.0237799,0.029505,0.0234287,0.0369625,,55,0.00389597,0.00873978,0.00382145,0.0106592,,55,1.65E-04,0.000620153,1.63E-04,0.000714454
57,0.0193302,0.00532714,0.0196277,0.00621305,,57,0.0483117,0.0129873,0.0486126,0.0158961,,57,0.0661719,0.0187677,0.066363,0.0232996,,57,0.0941074,0.0320688,0.0939298,0.0403722,,57,0.0968528,0.0416377,0.0963815,0.0526081,,57,0.0642271,0.0448163,0.0636436,0.0565828,,57,0.0450276,0.0408798,0.0445012,0.051486,,57,0.0246954,0.03061,0.0243363,0.0383244,,57,0.00420207,0.0093886,0.00412234,0.0114454,,57,1.96E-04,0.000728422,1.94E-04,0.000839092
59,0.0176414,0.00490525,0.0179252,0.00565834,,59,0.0442302,0.0120944,0.0445389,0.0146883,,59,0.0612484,0.0176624,0.0614633,0.0217906,,59,0.0897441,0.0309608,0.0896095,0.0388301,,59,0.0950453,0.0411698,0.0946062,0.0518936,,59,0.0647469,0.0452588,0.0641746,0.0570653,,59,0.0459639,0.0417661,0.0454384,0.0525453,,59,0.0255853,0.0316791,0.0252178,0.0396336,,59,0.00451145,0.0100436,0.00442652,0.0122383,,59,2.30E-04,0.000844965,2.27E-04,0.000973339
61,0.0162552,0.00456254,0.016522,0.00520794,,61,0.0405733,0.0113052,0.0408821,0.0136218,,61,0.0566837,0.0166466,0.0569141,0.0204048,,61,0.0853289,0.0298521,0.0852321,0.0372882,,61,0.0929549,0.0406195,0.092546,0.0510671,,61,0.0652261,0.0456539,0.0646617,0.0574788,,61,0.0468633,0.0425932,0.046337,0.053521,,61,0.0264751,0.0327238,0.0260987,0.0409062,,61,0.00482835,0.0107068,0.00473812,0.013041,,61,2.68E-04,0.000972,2.64E-04,0.00112004
63,0.0151398,0.00428746,0.0153874,0.00484616,,63,0.0373991,0.0106194,0.0377015,0.0126951,,63,0.0526135,0.0157344,0.0528519,0.0191597,,63,0.0811399,0.0287781,0.081076,0.0357932,,63,0.0908302,0.0400256,0.0904504,0.0501801,,63,0.065695,0.0460252,0.0651372,0.057855,,63,0.0477385,0.0433788,0.0472108,0.0544378,,63,0.0273804,0.0337564,0.0269945,0.0421578,,63,0.00515608,0.0113805,0.00506034,0.013856,,63,0.000309144,0.00111178,0.000305155,0.00128187
65,0.0141844,0.00403398,0.0144142,0.0045146,,65,0.034524,0.00996223,0.0348193,0.011814,,65,0.0488432,0.0148423,0.0490881,0.0179507,,65,0.0770209,0.0276573,0.0769896,0.0342443,,65,0.0885481,0.0393204,0.0881998,0.049149,,65,0.0661003,0.0463293,0.0655497,0.0581395,,65,0.0485578,0.0440889,0.0480294,0.0552539,,65,0.0282889,0.0347739,0.0278937,0.0433842,,65,0.00549021,0.0120597,0.00538881,0.0146769,,65,0.000355423,0.00126404,0.000350748,0.0014584
67,0.0134273,0.00384131,0.0136382,0.00426195,,67,0.032025,0.00940231,0.0323087,0.0110642,,67,0.0454689,0.0140531,0.0457145,0.0168822,,67,0.0731147,0.0265949,0.0731098,0.0327766,,67,0.0861929,0.0385707,0.0858742,0.0480602,,67,0.0664735,0.0465849,0.0659297,0.0583568,,67,0.0493288,0.0447332,0.0488001,0.0559822,,67,0.0291782,0.0357643,0.028774,0.0445705,,67,0.00582622,0.0127419,0.0057191,0.0155,,67,0.000405467,0.00142686,0.000400015,0.00164735
69,0.0127955,0.00366995,0.012989,0.00403786,,69,0.0297916,0.00887709,0.0300633,0.0103662,,69,0.0423817,0.0132982,0.0426263,0.0158679,,69,0.0693333,0.025523,0.069353,0.0313063,,69,0.083741,0.0377481,0.0834526,0.0468821,,69,0.066809,0.0467938,0.0662714,0.0585109,,69,0.0500564,0.0453175,0.0495272,0.0566312,,69,0.0300514,0.0367345,0.0296385,0.0457265,,69,0.0061636,0.0134261,0.00605073,0.0163249,,69,0.000458361,0.00159952,0.000452087,0.00184807
71,0.0122764,0.00352055,0.0124538,0.0038424,,71,0.0278059,0.00838724,0.0280657,0.00971993,,71,0.0395704,0.0125784,0.039813,0.0149083,,71,0.065714,0.0244487,0.0657569,0.0298439,,71,0.0812297,0.0368488,0.0809727,0.0456123,,71,0.06707,0.0469254,0.0665402,0.0585649,,71,0.0507062,0.0458102,0.0501781,0.057163,,71,0.0309075,0.0376754,0.0304866,0.0468419,,71,0.0065065,0.0141147,0.00638788,0.0171543,,71,0.000515146,0.00178442,0.000507977,0.00206354
73,0.0118542,0.00339316,0.0120168,0.00367501,,73,0.0260457,0.00793628,0.0262936,0.0091285,,73,0.0370218,0.0119007,0.0372613,0.0140108,,73,0.0622927,0.0233915,0.0623571,0.0284142,,73,0.0787215,0.0359,0.0784961,0.0442862,,73,0.0672721,0.0469917,0.0667514,0.0585342,,73,0.0512958,0.0462252,0.0507701,0.0575944,,73,0.0317541,0.0385857,0.0313257,0.0479156,,73,0.00685815,0.0148093,0.00673366,0.01799,,73,0.000577373,0.00198398,0.000569176,0.00229657
75,0.0115133,0.00328542,0.0116624,0.00353255,,75,0.0244783,0.00752174,0.0247145,0.00858792,,75,0.0347073,0.0112646,0.0349428,0.013174,,75,0.0590486,0.0223576,0.0591324,0.0270248,,75,0.0761908,0.0349118,0.0759961,0.0429167,,75,0.0673905,0.0469956,0.0668803,0.0584222,,75,0.0518296,0.0465817,0.0513073,0.0579496,,75,0.0325829,0.0394594,0.0321478,0.0489396,,75,0.00721481,0.015506,0.00708441,0.018827,,75,0.000644651,0.00219727,0.000635297,0.00254592
77,0.0112386,0.00319439,0.0113752,0.00341127,,77,0.0230782,0.00714098,0.0233027,0.00809401,,77,0.0326029,0.0106694,0.0328334,0.0123955,,77,0.0559599,0.0213497,0.0560606,0.0256783,,77,0.0736176,0.0338891,0.0734523,0.0415101,,77,0.0673949,0.0469309,0.066896,0.0582211,,77,0.0522933,0.046884,0.0517748,0.0582327,,77,0.0333757,0.040287,0.0329346,0.0499016,,77,0.00757258,0.0162003,0.00743627,0.01966,,77,0.000715482,0.00242191,0.000704892,0.00280869
79,0.0110176,0.00311826,0.0111428,0.00330874,,79,0.0218247,0.00679307,0.0220375,0.00764475,,79,0.0306848,0.0101152,0.0309091,0.0116746,,79,0.0530178,0.0203706,0.0531327,0.024378,,79,0.0710147,0.0328417,0.0708774,0.04008,,79,0.0672792,0.0467981,0.0667925,0.0579329,,79,0.0526711,0.0471201,0.0521571,0.0584293,,79,0.0341237,0.0410673,0.0336773,0.0508009,,79,0.00793148,0.0168917,0.00778927,0.0204889,,79,0.000789822,0.00265859,0.000777942,0.00308588
81,0.0108417,0.00305644,0.0109563,0.00322388,,81,0.0206996,0.00647811,0.0209008,0.00723922,,81,0.028929,0.00960171,0.0291464,0.0110098,,81,0.0502267,0.0194257,0.0503533,0.0231302,,81,0.0684165,0.0317815,0.0683055,0.0386422,,81,0.067066,0.0465989,0.0665925,0.0575616,,81,0.0529875,0.0472981,0.0524785,0.0585513,,81,0.0348286,0.0417951,0.0343779,0.0516328,,81,0.0082949,0.0175847,0.00814671,0.0213189,,81,0.000869294,0.00291045,0.000856031,0.00338125
83,0.0107054,0.00300849,0.0108103,0.0031558,,83,0.0196882,0.00619521,0.019878,0.00687545,,83,0.0273179,0.00912831,0.0275277,0.0103992,,83,0.0475896,0.0185212,0.0477257,0.0219414,,83,0.0658475,0.03072,0.065761,0.037211,,83,0.0667669,0.0463371,0.0663072,0.0571117,,83,0.0532645,0.0474324,0.0527607,0.0586169,,83,0.0354923,0.0424619,0.0350381,0.0523875,,83,0.00866296,0.0182814,0.00850877,0.0221522,,83,0.000955176,0.00317916,0.000940384,0.00369661
85,0.0106046,0.00297342,0.0107005,0.00310309,,85,0.0187811,0.00594228,0.0189597,0.0065502,,85,0.0258432,0.00869339,0.026045,0.00983992,,85,0.0451015,0.0176598,0.0452447,0.0208144,,85,0.0633166,0.0296656,0.0632525,0.0357962,,85,0.0663789,0.0460228,0.0659331,0.0565957,,85,0.0534918,0.0475269,0.0529936,0.0586307,,85,0.0361158,0.0430698,0.0356588,0.053067,,85,0.00903043,0.0189771,0.0088703,0.0229825,,85,0.00104677,0.00346278,0.00103031,0.00402948
87,0.0105361,0.00295013,0.0106237,0.00306436,,87,0.0179728,0.0057173,0.0181404,0.00626057,,87,0.0245019,0.00829575,0.0246949,0.00932987,,87,0.0427562,0.0168425,0.0429043,0.0197492,,87,0.0608288,0.0286233,0.0607844,0.034404,,87,0.0658959,0.0456625,0.0654639,0.0560216,,87,0.0536558,0.047579,0.0531634,0.0585893,,87,0.036698,0.04363,0.0362386,0.0536845,,87,0.00939616,0.01967,0.00923017,0.0238077,,87,0.00114301,0.00375924,0.00112478,0.00437749
89,0.0104968,0.00293796,0.0105766,0.00303865,,89,0.0172567,0.00551899,0.0174136,0.00600459,,89,0.0232861,0.00793406,0.0234701,0.00886675,,89,0.0405489,0.0160691,0.0406999,0.0187449,,89,0.0583935,0.0275968,0.0583666,0.033039,,89,0.065325,0.0452559,0.0649067,0.0553906,,89,0.0537652,0.047587,0.0532788,0.0584918,,89,0.0372314,0.0441394,0.0367703,0.054237,,89,0.00976269,0.0203597,0.00959088,0.0246281,,89,0.00124361,0.00406857,0.00122355,0.00474089
91,0.0104839,0.00293651,0.0105566,0.00302537,,91,0.0166245,0.00534625,0.0167709,0.0057805,,91,0.0221849,0.00760716,0.0223596,0.00844838,,91,0.0384782,0.0153406,0.0386304,0.0178021,,91,0.0560273,0.0265906,0.0560156,0.0317071,,91,0.0646878,0.0448023,0.0642835,0.0547032,,91,0.053846,0.0475564,0.0533657,0.0583465,,91,0.03771,0.044584,0.0372479,0.0547086,,91,0.0101332,0.0210456,0.0099556,0.0254434,,91,0.00134976,0.00439262,0.00132775,0.00512195
93,0.010496,0.00294558,0.0105621,0.00302409,,93,0.016068,0.00519748,0.0162042,0.005586,,93,0.0211893,0.00731352,0.0213545,0.00807227,,93,0.0365462,0.0146582,0.0366981,0.0169216,,93,0.05374,0.0256089,0.0537416,0.0304135,,93,0.0640018,0.0443101,0.0636116,0.0539702,,93,0.0539092,0.0474983,0.053435,0.0581668,,93,0.0381441,0.0449696,0.0376815,0.0551068,,93,0.0105065,0.0217248,0.010323,0.02625,,93,0.00146256,0.00473245,0.00143843,0.00552167
95,0.0105317,0.0029646,0.0105917,0.00303408,,95,0.0155812,0.00507082,0.0157077,0.00541858,,95,0.0202933,0.0070514,0.020449,0.00773589,,95,0.0347508,0.0140207,0.0349011,0.0161015,,95,0.0515308,0.0246541,0.0515438,0.0291609,,95,0.0632646,0.0437889,0.0628884,0.0532029,,95,0.0539345,0.0474146,0.0534664,0.0579544,,95,0.0385469,0.045315,0.0380841,0.0554541,,95,0.0108801,0.0223979,0.0106908,0.0270483,,95,0.00158141,0.00508623,0.00155502,0.00593768
,,,,,,97,0.0151605,0.00496452,0.0152776,0.00527599,,97,0.0194915,0.00681891,0.0196378,0.00743672,,97,0.0330863,0.0134258,0.0332338,0.015338,,97,0.0493996,0.0237292,0.0494224,0.0279525,,97,0.0624645,0.0432375,0.062102,0.0524005,,97,0.0539059,0.0473023,0.0534438,0.0577058,,97,0.0389169,0.0456277,0.0384543,0.0557588,,97,0.0112541,0.0230684,0.0110591,0.0278426,,97,0.00170505,0.00545165,0.00167629,0.00636727
,,,,,,99,0.0148011,0.00487735,0.0149094,0.00515657,,99,0.0187758,0.00661411,0.0189128,0.00717209,,99,0.0315429,0.0128708,0.0316867,0.0146276,,99,0.0473492,0.0228362,0.0473803,0.0267905,,99,0.0616016,0.0426517,0.0612527,0.0515587,,99,0.0538229,0.0471549,0.053367,0.0574138,,99,0.0392404,0.0458943,0.0387785,0.0560056,,99,0.0116272,0.023734,0.0114264,0.0286301,,99,0.00183337,0.00582903,0.00180216,0.00681105
,,,,,,101,0.0144963,0.00480822,0.0145962,0.0050588,,101,0.0181368,0.00643511,0.0182648,0.00693935,,101,0.03011,0.0123542,0.0302496,0.0139678,,101,0.0453846,0.021977,0.0454226,0.0256768,,101,0.0606891,0.0420308,0.060354,0.0506779,,101,0.0537087,0.0469764,0.0532591,0.0570848,,101,0.0395189,0.0461084,0.0390581,0.056188,,101,0.0119994,0.0243922,0.011793,0.0294081,,101,0.00196825,0.00622119,0.00193447,0.00727242
,,,,,,106,0.0139154,0.0046943,0.0139969,0.00488457,,106,0.0168086,0.00607358,0.0169162,0.00646364,,106,0.0269267,0.011204,0.0270548,0.0125049,,106,0.0408455,0.0199657,0.0408974,0.0230864,,106,0.0582358,0.0403516,0.0579354,0.0483409,,106,0.0533411,0.0464346,0.0529081,0.056149,,106,0.0401095,0.0464999,0.0396527,0.0564665,,106,0.0129475,0.0260354,0.0127269,0.0313445,,106,0.00233373,0.00726303,0.00229288,0.00849747
,,,,,,111,0.0135725,0.00466689,0.0136376,0.00481378,,111,0.015855,0.00583966,0.0159434,0.00614488,,111,0.0243024,0.0102706,0.0244159,0.0113228,,111,0.0368707,0.0181895,0.0369288,0.0208181,,111,0.0555336,0.0385172,0.0552661,0.0458489,,111,0.0527341,0.0457093,0.0523195,0.0549986,,111,0.0405381,0.0467138,0.0400865,0.0565239,,111,0.0139027,0.02766,0.0136682,0.0332496,,111,0.00272837,0.00837691,0.00267978,0.00980599
,,,,,,116,0.0133711,0.00469784,0.0134227,0.00481161,,116,0.0151413,0.00569476,0.0152134,0.00593387,,116,0.0221245,0.00950942,0.0222235,0.0103603,,116,0.0333374,0.0166031,0.033398,0.0188099,,116,0.0526824,0.0365633,0.0524473,0.0432457,,116,0.0519265,0.0448258,0.0515321,0.0536696,,116,0.0408525,0.0467644,0.0404075,0.0563844,,116,0.0148731,0.0292768,0.0146247,0.0351356,,116,0.00315554,0.00955187,0.00309856,0.0111861
,,,,,,121,0.0132712,0.00477289,0.0133119,0.00486122,,121,0.0146165,0.00562358,0.0146748,0.00581127,,121,0.0203432,0.00890082,0.0204285,0.00958887,,121,0.0301932,0.0151963,0.0302533,0.0170431,,121,0.0497082,0.0345287,0.0495037,0.0405791,,121,0.0508576,0.043749,0.0504852,0.0521202,,121,0.0410454,0.0466768,0.0406077,0.0560795,,121,0.0158326,0.0308604,0.0155707,0.0369696,,121,0.00360151,0.0107768,0.00353577,0.0126235
,,,,,,126,0.0132538,0.00488442,0.0132856,0.00495317,,126,0.0142381,0.00561326,0.0142848,0.00576086,,126,0.0188704,0.00842122,0.0189431,0.00897681,,126,0.0274094,0.0139674,0.027467,0.0155084,,126,0.0466547,0.0324402,0.0464791,0.0378813,,126,0.0495698,0.0424924,0.0492213,0.0503721,,126,0.0411239,0.0464445,0.0406947,0.0556034,,126,0.0168015,0.0323996,0.0165264,0.0387438,,126,0.00407074,0.0120465,0.00399582,0.014111
,,,,,,131,0.0132971,0.00502396,0.0133218,0.00507753,,131,0.0139772,0.00565125,0.0140143,0.00576734,,131,0.0176533,0.00805244,0.0177143,0.00850064,,131,0.0249681,0.0129065,0.0250218,0.0141884,,131,0.0435671,0.0303485,0.0434173,0.0352099,,131,0.0479905,0.0410431,0.0476667,0.0484136,,131,0.0411109,0.0461315,0.0406906,0.0550305,,131,0.0177474,0.0338736,0.0174598,0.0404307,,131,0.00455084,0.0133305,0.0044666,0.0156136
,,,,,,136,0.0133866,0.00518602,0.0134057,0.00522774,,136,0.0138127,0.00572897,0.0138421,0.00582015,,136,0.016653,0.00777737,0.0167039,0.00813831,,136,0.0228535,0.0120045,0.0229024,0.0130677,,136,0.040522,0.0282992,0.0403957,0.0326175,,136,0.0461524,0.039404,0.0458547,0.0462523,,136,0.0409816,0.0457061,0.0405716,0.0543248,,136,0.0186533,0.035242,0.0183551,0.0419855,,136,0.00504436,0.0146248,0.00495076,0.0171273
,,,,,,,,,,,,141,0.0137218,0.00583741,0.0137449,0.00590892,,141,0.0158368,0.00758293,0.015879,0.00787325,,141,0.0210326,0.0112446,0.0210764,0.0121237,,141,0.0375583,0.0263266,0.037453,0.0301412,,141,0.0441004,0.037623,0.0438296,0.0439428,,141,0.040699,0.045147,0.0403011,0.0534647,,141,0.0194886,0.0364916,0.0191814,0.0433917,,141,0.00554033,0.015906,0.00543757,0.0186222
,,,,,,,,,,,,146,0.0136825,0.00596962,0.0137004,0.00602581,,146,0.0151759,0.00745805,0.0152107,0.00769086,,146,0.0194653,0.0106127,0.0195044,0.0113376,,146,0.0347138,0.0244519,0.0346271,0.0278045,,146,0.0419265,0.0357535,0.0416822,0.041547,,146,0.0402876,0.0444595,0.039903,0.0524555,,146,0.0202353,0.0375947,0.019921,0.0446147,,146,0.00603602,0.017165,0.00592441,0.0200887
,,,,,,,,,,,,151,0.0136875,0.00612034,0.0137014,0.00616462,,151,0.0146539,0.00739173,0.014682,0.00757768,,151,0.0181212,0.0100984,0.0181559,0.0106944,,151,0.031974,0.0226782,0.0319035,0.0256079,,151,0.0396495,0.0338271,0.0394312,0.0391039,,151,0.039669,0.0435944,0.0393001,0.0512423,,151,0.0208636,0.0385173,0.0205444,0.0456154,,151,0.0065225,0.0183918,0.00640225,0.0215152
,,,,,,,,,,,,156,0.0137297,0.00628525,0.0137405,0.00632026,,156,0.0142492,0.00737451,0.0142718,0.00752311,,156,0.0169781,0.00968558,0.0170081,0.0101738,,156,0.0294007,0.0210223,0.0293445,0.0235683,,156,0.0373188,0.0318782,0.0371257,0.0366562,,156,0.0388994,0.0425705,0.0385484,0.0498506,,156,0.021403,0.0392621,0.0210802,0.046401,,156,0.00700383,0.0195845,0.00687508,0.0229005
